ip,url,timestamp,time_spent
169.198.63.121,http://attack.example.com/belief.php,2020-01-30 00:00:00,6632
47.234.153.202,http://blood.example.net/,2020-01-12 00:00:00,2177
181.191.47.83,http://bit.example.com/badge/advice.htm,2020-01-07 00:00:00,2044
111.223.124.125,https://example.com/activity/attack,2020-01-07 00:00:00,5332
60.212.189.52,https://book.example.com/beef,2020-03-26 00:00:00,1113
25.232.65.87,http://example.org/appliance/book#basketball,2020-02-04 00:00:00,1616
63.78.228.227,https://example.com/amusement/bed.aspx?bells=bite&basin=birthday,2020-04-09 00:00:00,1026
63.78.228.227,http://www.example.com/,2020-04-05 00:00:00,2905
82.60.164.212,http://example.com/,2020-03-02 00:00:00,6310
116.119.208.87,http://www.example.com/box/advertisement.php#basketball,2020-03-05 00:00:00,5439
50.140.213.16,https://addition.example.com/,2020-01-27 00:00:00,4038
213.84.84.178,https://example.com/?beginner=boat&bridge=achiever,2020-03-24 00:00:00,6770
181.191.47.83,https://www.example.com/?afternoon=bat&bomb=bells,2020-04-21 00:00:00,3588
183.121.193.139,https://www.example.com/?approval=art,2020-02-26 00:00:00,5737
163.4.189.58,http://example.org/appliance/book#basketball,2020-03-17 00:00:00,1742
32.144.241.177,http://www.example.com/adjustment/behavior.htm,2020-04-16 00:00:00,1693
60.225.46.218,http://www.example.com/,2020-04-02 00:00:00,6260
66.211.40.191,https://bead.example.com/,2020-02-27 00:00:00,5434
181.191.47.83,https://www.example.com/,2020-03-26 00:00:00,886
63.78.228.227,http://example.org/appliance/book#basketball,2020-04-07 00:00:00,1634
